tech,year,learning_rate,scenario,Remanufacturing,Manufacturing,Stockpile
solarPV,2025,LR1,scenario_min_min_min,5.777708677119992,9.699419826880032,37.97087149599997
solarPV,2030,LR1,scenario_min_min_min,100.0,83.51099454177297,40.0
solarPV,2035,LR1,scenario_min_min_min,103.03678646686531,229.65532035558607,56.575679142297595
solarPV,2040,LR1,scenario_min_min_min,103.03678646686531,378.874772452304,56.575679142297595
solarPV,2025,LR1,scenario_min_min_avg,5.7777086771200015,9.699419826880034,37.970871495999965
solarPV,2030,LR1,scenario_min_min_avg,100.00000000000001,83.51099454177302,40.0
solarPV,2035,LR1,scenario_min_min_avg,103.03678646686528,229.65532035558618,56.57567914229761
solarPV,2040,LR1,scenario_min_min_avg,103.03678646686528,378.6853454449982,56.57567914229761
solarPV,2025,LR1,scenario_min_min_high,5.777708677119997,9.699419826880032,37.970871495999965
solarPV,2030,LR1,scenario_min_min_high,100.00000000000001,83.510994541773,40.0
solarPV,2035,LR1,scenario_min_min_high,103.03678646686528,229.65532035558618,56.57567914229761
solarPV,2040,LR1,scenario_min_min_high,103.03678646686528,378.4947373575745,56.57567914229761
solarPV,2025,LR1,scenario_min_avg_min,5.777708677120078,9.699419826879959,37.970871495999965
solarPV,2030,LR1,scenario_min_avg_min,100.0,83.51099454177303,40.0
solarPV,2035,LR1,scenario_min_avg_min,103.03678646686531,229.65532035558616,56.57567914229761
solarPV,2040,LR1,scenario_min_avg_min,103.03678646686531,374.03470657045244,58.52890453725348
solarPV,2025,LR1,scenario_min_avg_avg,5.777708677120072,9.699419826879964,37.97087149599997
solarPV,2030,LR1,scenario_min_avg_avg,100.0,83.51099454177302,40.0
solarPV,2035,LR1,scenario_min_avg_avg,103.03678646686528,229.65532035558618,56.57567914229761
solarPV,2040,LR1,scenario_min_avg_avg,103.03678646686528,374.00738731226755,58.54787624432633
solarPV,2025,LR1,scenario_min_avg_high,5.777708677119986,9.699419826880032,37.97087149599998
solarPV,2030,LR1,scenario_min_avg_high,100.00000000000001,83.51099454177302,39.99999999999999
solarPV,2035,LR1,scenario_min_avg_high,103.03678646686528,229.65532035558616,56.57567914229761
solarPV,2040,LR1,scenario_min_avg_high,103.03678646686528,374.01799139418836,58.54051229854791
solarPV,2025,LR1,scenario_min_high_min,5.777708677120078,9.699419826879963,37.970871495999965
solarPV,2030,LR1,scenario_min_high_min,100.0,83.51099454177302,40.0
solarPV,2035,LR1,scenario_min_high_min,103.03678646686528,229.65532035558618,56.57567914229761
solarPV,2040,LR1,scenario_min_high_min,103.39321322001796,370.95859393848315,60.06114853327892
solarPV,2025,LR1,scenario_min_high_avg,5.7777086771198425,9.699419826880176,37.97087149599997
solarPV,2030,LR1,scenario_min_high_avg,99.99999999999999,83.510994541773,40.0
solarPV,2035,LR1,scenario_min_high_avg,103.03678646686525,229.65532035558616,56.57567914229762
solarPV,2040,LR1,scenario_min_high_avg,103.03678646686525,371.54313381365364,60.25916339614154
solarPV,2025,LR1,scenario_min_high_high,5.777708677119921,9.699419826880268,37.97087149599983
solarPV,2030,LR1,scenario_min_high_high,100.00000000000003,83.510994541773,40.0
solarPV,2035,LR1,scenario_min_high_high,103.03678646686531,229.65532035558618,56.57567914229761
solarPV,2040,LR1,scenario_min_high_high,103.03678646686531,371.54313381365364,60.259163396141524
solarPV,2025,LR1,scenario_avg_min_min,1.0,25.6932,26.7548
solarPV,2030,LR1,scenario_avg_min_min,42.28570562645923,130.3370766499192,39.99999999999999
solarPV,2035,LR1,scenario_avg_min_min,45.32249209332463,287.36961472912674,45.687466876903095
solarPV,2040,LR1,scenario_avg_min_min,45.32249209332463,435.9522583383823,46.534924504021795
solarPV,2025,LR1,scenario_avg_min_avg,1.0,25.6932,26.7548
solarPV,2030,LR1,scenario_avg_min_avg,42.28570562645946,130.33707664991908,40.0
solarPV,2035,LR1,scenario_avg_min_avg,45.322492093324804,287.3696147291267,45.68746687690311
solarPV,2040,LR1,scenario_avg_min_avg,45.322492093324804,436.3910316954531,45.68746687690311
solarPV,2025,LR1,scenario_avg_min_high,1.0,25.6932,26.7548
solarPV,2030,LR1,scenario_avg_min_high,42.28570562645934,130.33707664991923,39.99999999999996
solarPV,2035,LR1,scenario_avg_min_high,45.32249209332461,287.3696147291269,45.687466876903066
solarPV,2040,LR1,scenario_avg_min_high,45.32249209332461,435.95608460542564,45.687466876903066
solarPV,2025,LR1,scenario_avg_avg_min,1.0,25.6932,26.7548
solarPV,2030,LR1,scenario_avg_avg_min,42.28570562645935,130.33707664991917,40.0
