scenario,lr,year,solarPV,windon,windoff
scenario_high_avg_high,LR7,2040,1200264.732185075,403028.9771874666,93964.63619039943
scenario_high_high_min,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_min,LR7,2040,1199710.905144384,391508.7517014598,101212.7986040574
scenario_high_high_avg,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_avg,LR7,2040,1199697.59750263,391807.5499028952,101212.7986040574
scenario_high_high_high,LR7,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_high,LR7,2040,1199697.597502628,391807.5499028952,101212.7986040574
scenario_min_min_min,LR8,2030,598352.5452238849,297382.5,41596.5
scenario_min_min_min,LR8,2040,1155829.215980873,400500.2708734304,95620.21128315927
scenario_min_min_avg,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_avg,LR8,2040,1171227.699640746,395038.7906305278,99108.7779411011
scenario_min_min_high,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_high,LR8,2040,1172547.021789828,400500.2708734305,95775.32750920152
scenario_min_avg_min,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_min,LR8,2040,1201813.91735833,394637.2437229116,96744.69215937283
scenario_min_avg_avg,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_avg,LR8,2040,1201813.917358332,394947.6722286585,96744.69215937286
scenario_min_avg_high,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_high,LR8,2040,1201813.91735833,394947.6722286585,96744.69215937283
scenario_min_high_min,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_min,LR8,2040,1182370.705716809,396822.342747615,96988.51028896896
scenario_min_high_avg,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_avg,LR8,2040,1194943.811805976,397140.921036582,96988.51028896894
scenario_min_high_high,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_high,LR8,2040,1194943.811805977,397140.9210365819,96988.51028896894
scenario_avg_min_min,LR8,2030,598352.545223885,297382.5,41596.5
scenario_avg_min_min,LR8,2040,1154760.410925707,394592.0367902554,99233.80864959992
scenario_avg_min_avg,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_avg,LR8,2040,1163349.735822918,395707.0282518095,98881.981138878
scenario_avg_min_high,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_avg_min_high,LR8,2040,1162670.62783622,400500.2708734305,96117.21304709921
scenario_avg_avg_min,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_min,LR8,2040,1196981.636578879,394637.2437229115,96744.69215937282
scenario_avg_avg_avg,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_avg,LR8,2040,1200238.611698052,394947.6722286584,96744.69215937283
scenario_avg_avg_high,LR8,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_high,LR8,2040,1200428.442366747,394947.6722286584,96744.69215937282
